"miRNA","Condicion","Cx1","Cx2","Cx3","T1","T2","T3","Mean_Cx","Mean_Tx","DCT_Cx","DCT_Tx","DDCT","2^-DDCT"
"mmu-let-7a#","Target",27.4862,27.9015,28.0268,27.7229,27.6204,28.1681,27.8048333333333,27.8371333333333,5.45393333333334,5.74986666666667,0.29593333333333,0.814545202181251
"mmu-let-7b","Target",21.973,21.1772,20.9029,20.8373,21.6668,21.3227,21.3510333333333,21.2756,-0.999866666666666,-0.811666666666667,0.188199999999998,0.877700114103364
"mmu-let-7b#","Target",35,35,35,28.8208,35,35,35,32.9402666666667,12.6491,10.853,-1.7961,3.47280161832681
"mmu-let-7c","Target",20.4557,19.9664,20.0459,19.5642,20.4218,20.2647,20.156,20.0835666666667,-2.1949,-2.0037,0.191200000000002,0.875876884331803
"mmu-let-7c-1#","Target",35,35,35,34.1426,33.4703,34.9306,35,34.1811666666667,12.6491,12.0939,-0.555200000000003,1.46937231741548
"mmu-let-7d","Target",22.4104,22.0093,22.5148,21.7034,22.1162,22.8711,22.3115,22.2302333333333,-0.0394000000000005,0.142966666666666,0.182366666666667,0.881256154695765
"mmu-let-7d#","Target",35,26.0604,26.0314,35,35,35,29.0306,35,6.6797,12.9127333333333,6.23303333333333,0.0132944386032367
"mmu-let-7e","Target",19.9416,19.4722,19.9746,19.267,19.5114,19.9136,19.7961333333333,19.564,-2.55476666666667,-2.52326666666667,0.0314999999999976,0.978402503162835
"mmu-let-7e#","Target",29.6196,29.9688,30.8244,30.7672,32.9305,30.3707,30.1376,31.3561333333333,7.7867,9.26886666666667,1.48216666666666,0.357950830810078
"mmu-let-7f","Target",24.6699,23.9801,24.2725,23.6512,23.6529,24.4557,24.3075,23.9199333333333,1.9566,1.83266666666667,-0.123933333333333,1.08970175613654
"mmu-let-7f-1#","Target",31.8981,30.1648,29.8027,30.9468,30.9631,30.2094,30.6218666666667,30.7064333333333,8.27096666666667,8.61916666666667,0.348200000000002,0.78556360687885
"mmu-let-7g","Target",22.2222,21.9675,21.9252,21.448,21.3931,22.272,22.0383,21.7043666666667,-0.312599999999996,-0.382899999999996,-0.0702999999999996,1.04993498876781
"mmu-let-7g#","Target",29.8368,29.9691,30.1289,29.368,28.9682,29.8,29.9782666666667,29.3787333333333,7.62736666666667,7.29146666666667,-0.335899999999999,1.26216454250059
"mmu-let-7i","Target",23.2973,23.0587,22.29,22.637,22.0434,23.7983,22.882,22.8262333333333,0.531100000000002,0.73896666666667,0.207866666666668,0.865816580265
"mmu-let-7i#","Target",28.8568,29.9679,30.2411,29.8153,30.0305,30.4957,29.6886,30.1138333333333,7.3377,8.02656666666667,0.688866666666669,0.620340977888463
"mmu-miR-1","Target",30.7431,30.0054,31.4121,29.1423,28.8718,29.6797,30.7202,29.2312666666667,8.3693,7.144,-1.2253,2.33804062845755
"mmu-miR-1-2-AS","Target",35,35,35,35,35,35,35,35,12.6491,12.9127333333333,0.263633333333335,0.832987451044214
"mmu-miR-100","Target",20.9617,19.9827,19.7325,19.8325,19.9751,20.5867,20.2256333333333,20.1314333333333,-2.12526666666666,-1.95583333333333,0.169433333333334,0.889191872392773
"mmu-miR-101","Target",27.9995,27.5317,27.5208,26.9748,27.4514,28.43,27.684,27.6187333333333,5.3331,5.53146666666667,0.198366666666672,0.871536706875803
"mmu-miR-101a#","Target",35,35,35,35,35,35,35,35,12.6491,12.9127333333333,0.263633333333335,0.832987451044214
"mmu-miR-101b","Target",35,35,35,35,35,35,35,35,12.6491,12.9127333333333,0.263633333333335,0.832987451044214
"mmu-miR-103","Target",22.865,22.1124,22.9649,21.9288,22.1108,22.6871,22.6474333333333,22.2422333333333,0.296533333333336,0.154966666666667,-0.14156666666667,1.10310235828479
"mmu-miR-105","Target",35,35,35,35,35,35,35,35,12.6491,12.9127333333333,0.263633333333335,0.832987451044214
"mmu-miR-106a","Target",19.2537,18.9915,18.9602,18.7401,18.5221,19.1817,19.0684666666667,18.8146333333333,-3.28243333333333,-3.27263333333333,0.00980000000000203,0.993230176832811
"mmu-miR-106b","Target",23.1298,22.4429,22.6175,21.9652,21.9846,23.2284,22.7300666666667,22.3927333333333,0.37916666666667,0.305466666666671,-0.0736999999999988,1.05241228897103
"mmu-miR-106b#","Target",23.1415,24.9627,24.3519,23.8008,23.9669,23.9969,24.1520333333333,23.9215333333333,1.80113333333334,1.83426666666667,0.0331333333333319,0.977295440959685
"U6 snRNA","Control",13.114,13.4773,13.739,13.2596,13.1258,13.5539,13.4434333333333,13.3131,-8.90746666666667,-8.77416666666666,0.133300000000002,0.911743554063986
"Y1","Control",31.8015,31.9662,32.5407,31.2327,32.3676,32.0413,32.1028,31.8805333333333,9.7519,9.79326666666667,0.0413666666666686,0.971733986547706
